CUSTOMER_ID,FIRST,LAST,E-MAIL ADDRESS,PHONENUMBER,GENDER,AGE,A_REVENUES,B_REVENUES,C_REVENUES,D_REVENUES,CONNECT_DATE,END_DATE
"K283940","CHERYL","MILES","name28323@zigzag.be","(07220) 008712","Female",32,,,,,2005-12-23,
"K282940","KATHY","BOLTON","name20630@wwmail.es","0208 9251635","Male",78,,,,,2006-07-09,
"K281020","RUSSEL","SMYTHE","name13847@tnet.uk","(07285) 614354","Female",18,9,20,,40,2005-04-21,
"K280920","JILL","BRAMPTON","name10401@tnet.inc","0208 5765024","Female",29,13,21,29,38,2005-11-16,
"K233980","SARIM","ODDY","name13846@tnet.uk","0207 8081764","Female",44,10,,34,,2006-09-10,2007-01-20
"K170960","CYNTHIA","DAVIS","      ","(01551) 389731","Female",25,,,,,2003-02-06,2006-03-05
"K169340","RACHEL","HIGGINBOTHAM","name26894@wwmail.uk","(01506) 609481","Female",21,14,19,32,41,2003-04-28,
"K169280","SARIM","TURNSTAL","name6366@tnet.fr","0208 5683873","Female",17,,,,,2005-10-01,2009-07-15
"K167390","JASON","DUNSTER","name1609@lomejor.es","0208 6043636","Female",24,10,20,32,,2003-06-09,2006-10-17
"K166740","CHERYL","MILLER","name29727@zigzag.com","01105 702917","Male",17,,19,,40,2004-08-22,2008-12-28
"K165930","FIONA","GILMOUR","name29856@zigzag.es","01776 965327","Female",18,,15,32,42,2006-12-09,2009-12-08
"K110160","MARY","TEAL","name17578@wwmail.de","(01119) 963864","Female",33,7,,28,36,2004-09-19,
"K109920","ANDREA","PICKLES","name29046@zigzag.cat","+44 208 5593924","Male",40,10,17,32,42,2004-10-15,
"K108250","PAUL","BOLTON","name10389@tnet.inc","(07322) 898442","Female",40,14,16,28,40,2004-09-18,
"K238190","JEAN","SIMMONS","name6354@tnet.fr","01246 116116","Male",44,8,22,,44,2006-07-21,2008-08-04
"K370400","BENNY","STEAK","name3172@molbe.cat","01626 690977","Male",26,10,14,28,,2006-09-14,
"K364060","WENDY","PRICE","name43@hmail.de","01106 326475","Female",16,,,,,2003-11-11,
"K359180","PERCY","GRAHAM","name5357@tnet.jp","01531 825427","Female",24,,,,,2003-03-02,
"K357920","HERBERT","GODFREY","name5357@tnet.jp","(0208) 9488753","Female",18,,,26,,2005-08-25,
"K356200","ETHEL","GLEN","name5357@tnet.jp","01710 578208","Male",32,,,26,,2004-08-26,
"K355410","JOE","BEARD","name255@hmail.inc","(01151) 838536","Male",39,,,,,2006-07-05,
"K354870","JOSHUA","GRAHAM","name25457@wwmail.org","0208 9757343","Male",60,,,,,2006-11-05,
"K353530","MANDY","GROSS","name1616@lomejor.es","01375 233486","Female",22,6,20,29,39,2003-11-19,
"K251900","KATHY","MCINTOSH","","+44 1384 914005","Male",22,,,,,2003-11-13,2006-04-27
"K326080","JOHN","WALKER","name17576@wwmail.de","+44 208 4627646","Male",29,11,,,,2003-08-25,
"K325630","FRAN","BANKS","name13845@tnet.uk","+44 7446 470727","Male",20,,24,,,2004-02-12,
"K323670","DOROTHY","MOODY","name25454@wwmail.org","01270 758815","Male",26,,18,,,2003-11-26,
"K319770","PAUL","TEAL","name815@hmail.uk","(0207) 0974763","Female",16,,23,,35,2006-05-08,
"K318240","RUSSEL","SMITH","name29034@zigzag.cat","01849 181539","Female",41,11,21,,35,2004-10-31,
"K317880","SANDY","LOWRY","name10378@tnet.inc","+44 7816 027798","Female",40,11,19,,,2003-08-24,2005-03-28
"K316320","VINCE","PENCE","name1619@lomejor.es","01772 468227","Female",23,14,,29,45,2004-03-02,
"K315710","BARBARA","BEARD","name20623@wwmail.es","01313 957893","Female",40,,21,29,,2005-01-14,
"K309390","SANDY","BOLTON","name5361tnet.jp","+44 1423 509032","Female",17,,,,,2006-08-14,
"K308300","JOAN","BEALE","name3155@molbe.cat","(07130) 377888","Female",25,,,,,2003-07-25,
"K305100","VICTOR","SMITH","name3147@molbe.cat","01142 943585","Female",27,,,,,2005-11-13,
"K303850","MARTIN","PUGH","name17575@wwmail.de","(01607) 319407","Female",27,,,,,2004-08-20,
"K175550","TRACEY","STEAK","name17574@wwmail.de","(07091) 641821","Male",12,,21,30,43,2006-11-21,2008-08-05
"K235650","BENNY","FLETCHER","name6321@tnet.fr","0208 6671567","Female",30,,,,,2006-08-18,2008-04-06
"K403560","VICTOR","LIVINGSTONE","name10372@tnet.inc","(01870) 212014","Male",20,,,,,2004-10-20,2006-11-10
"K402640","ALEX","BOLTON","name17572@wwmail.de","+44 208 6024665","Female",29,6,23,,35,2005-05-04,2008-02-11
"K402070","ROBERTA","COTTON","name17571@wwmail.de","0208 2710142","Female",31,8,20,,42,2003-09-02,2007-11-04
"K401780","SUSAN","HARGRAVE","name10356@tnet.inc","(01373) 906318","Female",26,,22,26,40,2006-06-22,2008-12-05
"K183710","PHILLIP","MANDLESON","name3125@molbe.cat","0207 6023945","Male",22,14,19,30,42,2005-05-10,2007-11-14
"K184850","KATHRYN","DRISKALL","name25442@wwmail.org","(01386) 662099","Female",24,,,,,2005-07-09,2009-10-09
"K200880","ETHEL","ODDY","name1625@lomejor.es","+44 207 4064265","Female",14,11,21,,39,2006-06-22,2009-10-17
"K202440","ANGIE","COTTON","name17569@wwmail.de","01535 558780","Female",14,,,34,,2003-12-28,2005-04-20
"K188700","MANDY","BANKS","name20614@wwmail.es","(0208) 2744932","Female",17,,,,,2005-06-05,2009-07-09
"K154920","DAVID","WALKER","name25438@wwmail.org","(0207) 5023146","Female",50,11,21,29,42,2003-07-25,
"K154300","AGNES","TRASLER","name6302@tnet.fr","01523 242221","Male",46,9,,27,41,2005-12-15,2006-08-22
"K153880","DOROTHY","AMBLER","name26833@wwmail.uk","0208 5015943","Female",28,8,23,31,,2004-09-22,
"K151910","JULIAN","BOND","name25436@wwmail.org","07483 783619","Male",40,7,22,31,37,2005-01-22,
"K150940","ROBERT","MYTHEN","name842@hmail.uk","07229 265301","Female",32,,,,39,2005-12-23,
"K148630","WALTER","SCOTT","name10354@tnet.inc","0208 8514665","Male",34,11,22,31,35,2003-04-21,2004-09-22
"K147740","STEVE","PEMBERTON","name25434@wwmail.org","(01529) 519997","Female",33,,21,31,39,2004-03-05,
"K145570","DAN","BRAMPTON","name23335@wwmail.inc","0208 4985523","Male",36,9,21,29,38,2006-05-22,
"K144960","DAVID","LAMBINI","name17567@wwmail.de","07638 217960","Female",26,6,23,26,36,2004-02-17,
"K144100","HERBERT","BRAMWELL","name25431@wwmail.org","(01524) 208971","Female",46,12,,31,39,2004-04-25,
"K142270","KATE","MCINTOSH","name10353@tnet.inc","01526 672761","Male",67,,20,28,37,2005-12-11,
"K142200","JOAN","BROWN","name1632@lomejor.es","+44 1152 317795","Male",33,9,20,25,41,2004-01-13,
"K142170","GORDON","AMBLER","name23332@wwmail.inc","(0207) 2904433","Female",42,7,22,30,38,2003-04-20,
"K141380","ROBERTA","GRAHAM","name20610@wwmail@es","(07509) 058153","Male",33,9,19,31,37,2004-09-14,2005-10-01
"K140910","NORMAN","PUGH","name13842@tnet.uk","07343 415290","Male",36,,20,30,31,2004-05-08,2005-06-23
"K140090","VERA","MYTHEN","name13841@tnet.uk","01434 363085","Female",40,,,,,2003-08-22,
"K137970","WENDY","WHITE","name17566@wwmail.de","+44 1565 432044","Female",54,7,21,25,,2006-07-01,
"K137850","RICHARD","DRISKALL","name17565@wwmail.de","0207 2894767","Male",49,8,17,,44,2003-11-18,
"K135480","ANDREA","WATCHALL","name10349@tnet.inc","(01142) 890864","Female",43,,,,,2004-11-10,
"K133480","WALTER","TEAL","name28280@zigzag.be","(01297) 587053","Male",53,11,19,,38,2005-02-01,
"K132630","EDITH","GILMOUR","name1634@lomejor.es","0208 2531351","Female",28,6,22,28,41,2004-01-13,
"K131100","TRACEY","LOWRY","name5363@tnet.jp","(01988) 596375","Male",41,8,18,27,42,2005-01-03,
"K129110","JILL","WALKER","name3103@molbe.cat","0208 5490265","Male",42,,,,,2003-07-28,
"K128050","SUSAN","WATCHALL","name13840@tnet.uk","07938 794074","Female",27,12,18,30,,2006-04-21,2008-11-23
"K126560","STAN","THOMPSON","name6289@tnet.fr","01983 291188","Female",54,7,20,32,,2005-12-13,
"K121970","GLADYS","PUGH","name1640@lomejor.es","01842 851670","Male",30,9,,29,37,2003-05-23,2007-09-15
"K121720","MARTIN","YOUNG","name13839@tnet.uk","(01428) 182441","Female",75,12,18,26,44,2003-04-18,
"K121320","STAN","MILES","name25418@wwmail.org","0208 5338844","Female",32,,24,29,40,2005-01-06,
"K120830","WALTER","MIDDLETON","name13838@tnet.uk","(01286) 818045","Male",36,8,20,30,41,2005-04-24,2006-04-04
"K113400","SALLY","MOREHEAD","      ","0207 3062976","Female",49,,26,30,43,2005-10-06,
"K193210","FRAN","CLINTON","name26798@wwmail.uk","01319 237333","Female",21,,21,31,41,2005-06-28,2008-12-21
"K193400","KATHRYN","BEARD","name20603@wwmail.es","(01167) 238697","Female",13,12,20,30,,2003-05-25,
"K193750","GORDON","BRAMWELL","name6271@tnet.fr","(01895) 966103","Female",22,10,22,,38,2004-08-04,2008-04-18
"K194910","DOROTHY","COTTON","name23321@wwmail.inc","(01776) 126065","Female",17,10,21,29,,2006-01-07,2010-04-12
"K197110","JOE","BANKS","name28270@zigzag.be","(01142) 262574","Male",25,,14,29,44,2006-01-08,2008-02-29
"K197420","TREVOR","TURNSTALL","name23320@wwmail.inc","+44 207 7473587","Male",24,5,20,28,41,2005-12-19,2007-10-18
"K237580","JAMES","WATCHALL","name1642@lomejor.es","01456 254533","Female",43,,,,,2006-08-20,2007-11-05
"K334870","ETHEL","STEAK","name23319@wwmail.inc","0207 0474887","Male",29,,17,27,,2006-08-31,
"K328220","VICTOR","ODDY","name13837@tnet.uk","07886 535975","Male",34,5,20,27,41,2005-08-24,
"K328110","TRACEY","WALKER","name25411@wwmail.org","0207 4356154","Female",33,,,,,2003-05-06,2005-10-20
"K259670","MATTHEW","BROWN","name17560@wwmail.de","01462 445017","Male",29,8,19,34,,2003-03-20,2004-12-06
"K247740","ROBERTA","GODFREY","name3083@molbe.cat","01473 791268","Female",27,,,27,,2005-08-24,
"K376590","ALEX","WILDER","name6265@tnet.fr","0208 7909836","Female",17,,,30,,2004-01-05,2008-06-09
"K375400","ANGUS","LIVINGSTONE","name20600@wwmail.es","(0208) 4516464","Female",28,,21,28,39,2005-06-18,2009-11-19
"K102270","SELENA","PRITCHARD","name23315@wwmail.inc","+44 208 1796234","Male",54,9,,,,2005-08-14,2007-06-12
"K382390","JEAN","LIVINGSTONE","name135@hmail.fr","(01347) 187280","Male",14,,,,,2004-12-03,2008-02-14
"K383700","PHILIP","SMITH","name26780@wwmail.uk","01345 851767","Male",30,10,20,,39,2006-08-05,
"K385750","RON","JONES","name25405@wwmail.org","(07161) 876591","Male",17,,21,,,2003-08-25,
"K386680","GEORGE","HIGGINS","name5364@tnet@jp","+44 1487 131908","Male",47,,,,,2005-06-12,2009-04-14
"K387190","JAMES","ROBERTSON","name28979@zigzag.cat","0207 9247198","Male",28,,,,,2004-08-06,
"K222050","MARK","GRAHAM","name26778@wwmail.uk","0207 5131965","Male",27,,20,31,40,2006-02-22,2007-03-25
"K221250","MICHAEL","BOND","name20598@wwmail.es","+44 1987 490019","Male",21,,,,,2004-10-27,2005-10-08
"K220900","SAM","HARGRAVE","name13835@tnet.uk","(0208) 4526453","Male",21,10,17,34,37,2003-09-16,2006-05-24
"K218910","JONATHON","AMBLER","name13834@tnet.uk","(01805) 716752","Male",25,,,,,2003-10-31,2004-03-07
"K217120","EDITH","BROWN","name13833@tnet.uk","(0207) 0212843","Male",26,,22,36,40,2003-03-04,2004-08-11
"K216170","SALLY","ELLER","name23311@wwmail.inc","0208 5974965","Male",33,7,19,30,44,2005-12-18,2008-08-14
"K216030","JEAN","LANCASHIRE","name13832@tnet.uk","(01493) 120050","Male",34,,,,,2006-03-12,2007-11-28
"K215940","FIONA","DRISKALL","name23309@wwmail.inc","0208 5567534","Male",29,12,,34,42,2004-03-01,2005-07-19
"K413130","FRAN","MILLER","name10326@tnet.inc","(01821) 565608","Female",28,14,22,29,34,2005-01-28,2009-01-22
"K414520","BILL","BROWN","name5366@tnet.jp","+44 7715 233501","Male",17,,,,,2003-08-08,2007-11-09
"K264730","PERCY","STEVENS","name6250@tnet.fr","0208 8942063","Male",21,,,31,,2005-05-11,
"K213330","MATTHEW","FISHER","name23307wwmail.inc","(0207) 1485946","Female",22,6,18,,40,2005-06-16,
"K252710","CYNTHIA","ELLER","name5367@tnet.jp","0208 4731522","Male",26,,,,,2003-05-22,2007-09-04
"K248870","JOE","STEVENS","name904@hmail.uk","0208 6111565","Female",51,,,,,2006-08-03,
"K262040","SARIM","ROBERTSON","name3056@molbe.cat","+44 1216 929186","Female",32,,,,,2004-03-21,
"K262060","ANDREA","MILES","name29408@zigzag.jp","01404 490821","Female",22,,,,,2006-06-22,
"K204910","DAN","GILMOUR","name17558@wwmail.de","0207 0398498","Female",15,9,20,29,38,2006-07-04,2010-10-21
"K204820","JEAN","TRASLER","name1647@lomejor.es","(01521) 504189","Male",18,,17,32,40,2004-04-10,2007-06-02
"K377130","JESSICA","SMITH","name26773@wwmail.uk","01294 271927","Male",18,,,,,2005-09-10,
"K378190","KATHY","TRASLER","name1648@lomejor.es","(01801) 656249","Female",45,,,27,42,2006-07-13,2010-09-11
"K380830","SIMON","KRISHAN","name5369@tnet.jp","0207 3788511","Female",39,,,,,2005-10-26,
"K268890","PERCY","BROWN","name13831@tnet.uk","07078 845801","Male",16,6,20,29,38,2006-07-03,
"K244250","MARTIN","CLINTON","name23299@wwmail.inc","07617 493864","Female",30,11,,,41,2003-03-25,
"K260690","PHILIP","PEMBERTON","name20591@wwmail.es","+44 1147 639276","Male",13,,,,,2006-11-03,
"K272080","MARYSIA","JONES","name10314@tnet.inc","(01340) 556202","Female",34,,,,,2004-08-11,
"K229960","MARY","LOWRY","name23296@wwmail.inc","(0207) 2777375","Male",20,,24,29,40,2003-01-25,2006-09-21
"K228440","CHERYL","SMITH","name20590@wwmail.es","(01251) 535423","Male",20,,,,40,2006-02-05,2008-04-24
"K226690","GEORGE","TURNSTALL","name5370@tnet.jp","(0208) 4086742","Female",19,11,19,27,,2006-02-20,2010-10-26
"K391640","JOSHUA","JONES","name28960@zigzag.cat","01671 256733","Male",18,,,,,2005-11-23,
"K392430","DAWN","KRISHAN","name13830@tnet.uk","01986 214141","Female",50,10,,,40,2003-04-05,
"K394730","JOHN","PETERS","name1651@lomejor.es","0208 8326876","Male",18,,,,,2005-08-12,
"K416380","DIANE","PRITCHARD","name13829@tnet.uk","(01146) 544575","Female",18,,,,,2004-06-26,2007-12-11
"K164240","DAN","HOOPER","name13828@tnet.uk","(01949) 261289","Male",44,5,18,34,44,2003-07-20,2006-06-14
"K159050","JOAN","THOMPSON","name17557@wwmail.de","07624 624989","Female",40,,,,,2004-09-10,
"K158110","FIONA","GODFREY","name1652@lomejor.es","0208 8134847","Female",30,,,,,2004-09-01,
"K242270","STEVE","LANCASHIRE","name5371@tnet.jp","07934 154231","Male",17,,,,,2006-08-04,
"K275710","NICOLA","TINE","name5372@tnet.jp","01475 856139","Male",32,,,,42,2006-06-27,
"K276330","SEAN","CAWOOD","name13827@tnet.uk","0113 2648392","Male",42,,,,,2006-12-04,
